customer_id,firstname,lastname,record_number,days_since_opened,days_since_confirmed,primary_term,final_term,days_till_primary_close,days_till_final_close,loans_credit_limit,loans_next_payment_summary,loans_outstanding_balance,loans_max_overdue_amount,loans_credit_cost_rate,loans_within_5_days,loans_within_5_to_30_days,loans_within_30_to_60_days,loans_within_60_to_90_days,loans_over_90_days,is_zero_loans_within_5_days,is_zero_loans_within_5_to_30_days,is_zero_loans_within_30_to_60_days,is_zero_loans_within_60_to_90_days,is_zero_loans_over_90_days,utilization,over_limit_count,max_over_limit_count,is_zero_utilization,is_zero_over_limit_count,is_zero_max_over_limit_count,encoded_payment_0,encoded_payment_1,encoded_payment_2,encoded_payment_3,encoded_payment_4,encoded_payment_5,encoded_payment_6,encoded_payment_7,encoded_payment_8,encoded_payment_9,encoded_payment_10,encoded_payment_11,encoded_payment_12,encoded_payment_13,encoded_payment_14,encoded_payment_15,encoded_payment_16,encoded_payment_17,encoded_payment_18,encoded_payment_19,encoded_payment_20,encoded_payment_21,encoded_payment_22,encoded_payment_23,encoded_payment_24,encoded_loans_account_holder_type,encoded_loans_credit_status,encoded_loans_credit_type,encoded_loans_account_currency,primary_close_flag,final_close_flag
d5087b48-c0f0-4ee4-8760-29187da7fdc5,Inaaya ,Bora,18,9,13,3,8,2,11,3,2,3,2,6,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,1
a37d86f3-f123-48a0-a9e5-b75884c7ca7e,Myra,Sunder,8,0,16,6,8,0,11,8,4,5,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,6,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,4,3,3,3,4,1,2,3,1,0,1
a4a49d6a-c2b1-4d48-a744-4cc14e24de84,Stuvan,Goyal,11,7,16,17,8,8,11,19,2,3,2,0,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,0,1
46442dd6-65cd-4c85-9096-e2eece0f3fa3,Vardaniya,Arora,9,18,10,14,8,12,11,14,3,2,2,2,6,16,5,4,8,No,Yes,Yes,Yes,Yes,13,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,1
c585fe00-5cb1-41f7-a2b1-e7a30ab73e6a,Aniruddh,Seshadri,7,4,16,14,8,8,11,16,2,4,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,12,2,17,No,Yes,Yes,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,1
1b746664-c0d5-4149-9d1e-1e115e3cd71e,Keya,Raval,11,4,17,4,8,5,11,13,2,3,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,1
f891c558-c30c-486f-9a66-24871bc46028,Aaryahi,Acharya,21,9,2,12,8,12,11,1,1,4,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,0,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,7,1,0,1
74c1f1d9-8c63-4709-b83c-b00232f307b0,Nitya,Vora,20,19,10,1,8,14,11,14,2,2,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,13,2,17,No,Yes,Yes,0,0,0,0,0,3,,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,0,1
4ed7c44e-12c0-458f-a535-256ee1693346,Manjari,Goda,29,9,16,2,8,8,11,1,6,4,2,13,6,16,5,4,8,No,Yes,Yes,Yes,Yes,7,2,17,No,Yes,Yes,0,1,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,1
0eb5f7b8-626a-4ea0-b37b-dd270c5c63de,Pihu,Bobal,21,12,10,4,8,1,11,6,2,4,2,6,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,6,2,17,No,Yes,Yes,0,3,3,,3,3,3,,3,3,3,4,,3,3,3,3,3,3,3,4,3,3,,4,1,2,5,1,0,1
5aa0a2f4-b150-42a8-9041-f62a5af294c6,Dhruv,Mall,17,9,0,16,8,1,11,1,1,3,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,13,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,7,1,0,1
7d24d966-3116-4445-a3e6-644fe65d46e4,Nishith,Thakur,16,5,5,0,8,14,11,9,2,3,2,4,6,16,5,4,8,No,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,1
33a85a3d-165f-4405-bf06-a0981a309574,Hansh,Wali,5,14,10,0,8,12,11,7,2,2,2,4,6,16,5,4,8,No,Yes,Yes,Yes,Yes,7,2,17,No,Yes,Yes,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,1
b1f938ca-3973-40a6-b693-d0f8bcb0bc3b,Nirvaan,Barad,7,10,5,4,8,1,11,14,2,1,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,9,5,4,No,No,No,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,4,3,3,3,4,4,2,1,1,1,1
349e9863-7a51-4b2d-914d-6625943fa8f7,Saksham,Behl,30,19,9,4,8,1,11,8,3,5,2,5,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,3,2,17,No,Yes,Yes,,0,3,3,3,,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,4,1,2,3,1,1,1
8d5ec308-bdd9-49f9-b59f-f3c993ae86e7,Dhanush,Sahota,8,4,16,11,8,1,11,10,2,2,2,4,6,16,5,4,8,No,Yes,Yes,Yes,Yes,3,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,3,1,0,1
159d92fc-6b11-4630-8d21-e739a74fa4cb,Priyansh,Chadha,1,12,12,4,8,1,11,4,2,3,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,9,5,4,No,No,No,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,,,3,3,4,4,1,1,1,1,1
713923ad-2b92-47f2-a6ac-c6677ae15941,Aaina,Bala,5,15,2,4,8,1,11,14,2,3,2,9,6,16,5,4,8,No,Yes,Yes,Yes,Yes,9,5,4,No,No,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,1,1,2,3,1,1,1
97a27002-c5d8-4679-9b9d-363c1c77fb18,Nirvaan,Mane,15,2,3,4,8,1,11,14,2,3,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,9,5,4,No,No,No,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
6ef44c92-c288-4abe-8110-7e8df53817de,Neelofar,Saxena,9,18,16,0,8,8,11,3,2,4,2,1,0,16,5,4,8,No,Yes,Yes,Yes,Yes,15,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,1,2,3,1,0,1
ea72c473-29b3-4519-987e-9001554ae558,Purab,Kuruvilla,11,9,9,4,8,1,11,14,0,3,2,5,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,3,3,4,,3,3,4,1,2,3,1,1,1
4b61b77a-37da-4f2a-99cc-07ebf894eda4,Parinaaz,Koshy,6,16,6,4,8,1,11,8,1,2,2,4,6,16,5,4,8,Yes,No,Yes,No,No,2,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,1,1
46d8fdba-dc5d-46b0-ba24-397387525556,Riya,Balakrishnan,13,19,1,4,8,7,11,5,2,3,2,6,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,3,3,3,3,3,3,3,3,3,3,4,3,3,,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,1
c8586641-1969-434b-906b-dfefb967f7cf,Heer,Kalla,1,16,10,6,8,10,11,2,5,1,2,4,6,16,5,4,8,No,Yes,Yes,Yes,Yes,12,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,1
7d766a6d-9199-4521-9fcb-c7ea7131db62,Aarush,Sharaf,23,7,10,14,8,10,11,8,2,4,2,1,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,5,2,17,No,Yes,Yes,0,0,0,0,,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,0,1
ba7d8c1d-28e5-43a7-9603-2335187b8ab0,Kiaan,Varghese,16,1,5,1,8,8,11,14,3,5,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,15,2,17,No,Yes,Yes,0,0,0,0,0,0,0,,0,0,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,1
e6f4c1b0-231e-4e2c-b4b3-3d42c870c843,Nishith,Kar,15,19,10,2,8,8,11,12,6,4,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,11,2,17,No,Yes,Yes,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,,3,3,3,3,4,3,3,3,4,1,2,7,1,0,1
e2a36366-669d-4a5b-87d0-5d52538e0d9a,Tanya,Wali,13,12,6,4,8,1,11,13,2,3,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,3,3,3,3,3,,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
46acf008-200a-4ccd-bcf0-60342daa3d47,Mohanlal,Sura,9,2,0,4,8,1,11,14,2,1,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,9,5,4,No,No,No,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,3,3,3,3,3,4,3,3,3,4,4,2,1,1,1,1
61139a6b-7108-4f54-a127-cb5f9a666c1f,Arnav,Rege,15,11,3,2,8,1,11,1,2,3,2,8,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,0,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,,3,4,3,3,3,4,1,3,3,1,0,1
4f779c64-fe73-49f9-8391-80ff27e9a97f,Hazel,Buch,10,7,9,4,8,1,11,16,2,2,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,11,2,17,No,Yes,Yes,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,,3,4,3,3,3,4,1,2,3,1,1,1
9e83d8d2-c8d1-4d69-8f54-70f911215ac9,Advik,Loke,13,6,0,0,8,12,11,7,2,5,2,4,6,16,5,4,8,No,Yes,No,Yes,Yes,3,2,17,No,Yes,Yes,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,1
edea1d2c-1b9e-43ca-bd55-99944accf286,Ela,Venkatesh,20,6,16,4,8,1,11,12,2,4,2,1,6,16,5,4,8,No,Yes,Yes,Yes,Yes,3,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,1,1,0,0,0,1,1,2,3,1,1,1
82ed1e1d-f183-41a4-853f-7f3498b44ea0,Gatik,Sanghvi,5,10,4,4,8,6,11,18,2,3,2,2,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,1
149ad45c-09b7-4e9e-b6ad-eb0a5d94f2dd,Advika,Badal,5,0,4,6,8,0,11,11,2,3,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,0,0,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,0,1
6d9a729e-6f48-4522-b6a0-46e258ba2f5b,Mahika,Dani,14,18,1,11,8,15,11,14,2,5,2,4,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,19,2,17,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,1
e10d6aa9-5658-4559-b46b-652cdeb47cf0,Lakshit,Boase,6,4,12,11,8,12,11,16,2,3,2,1,6,16,5,4,8,Yes,Yes,Yes,Yes,Yes,16,2,17,Yes,Yes,Yes,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,4,,3,3,4,1,2,3,1,0,1
78743f83-9769-4dd5-a648-7af3d2209368,Oorja,Majumdar,13,3,6,4,8,1,11,12,2,3,3,7,6,16,5,4,8,Yes,No,Yes,Yes,Yes,16,2,17,Yes,Yes,No,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,1,0,0,4,1,2,4,1,1,1
